FAR_CODE_DATA_BLOCK_ID,DATA_BLOCK_FIELDS_ID,VALUE_TXT,FAR_CODE_ID
264,15,Your case ID,11
265,16,Other case ID,11
266,17,EIWAR,11
267,19,=N,11
268,20,=1,11
269,21,=1,11
270,23,=1,11
271,24,=0 (numeric),11
272,25,=0 (numeric),11
273,26,Fill as appropriate,11
274,33,Fill as appropriate,11
275,34,=O (alpha),11
276,41,Your state contact last name,11
277,42,Your state contact first name,11
278,45,Contact address,11
279,47,Contact city,11
280,48,Contact state,11
281,49,Contact ZIP Code,11
282,51,Contact phone number,11
283,194,NCP last name,11
284,195,NCP first name,11
285,199,NCP Social Security number,11
286,198,NCP date of birth,11
287,194,Participant last name,11
288,195,Participant first name,11
289,202,Fill as appropriate,11
290,203,=O (alpha),11
291,267,=O (alpha),11
292,269,Fill as appropriate,11
293,8,003,12
294,9,Fill as appropriate,12
295,12,P,12
296,13,ENF,12
297,15,Your case ID,12
298,16,Other case ID,12
299,17,ESREG,12
300,19,=N,12
301,20,=1,12
302,21,=1,12
303,23,=1,12
304,24,=1,12
305,25,=0 (numeric),12
306,26,=0 (numeric),12
307,33,Fill as appropriate,12
308,34,=O (alpha),12
309,41,Your state contact last name,12
310,42,Your state contact first name,12
311,45,Contact address,12
312,47,Contact city,12
313,48,Contact state,12
314,49,Contact ZIP Code,12
315,51,Contact phone number,12
316,194,NCP last name,12
317,195,NCP first name,12
318,199,NCP Social Security number,12
319,198,NCP date of birth,12
320,194,Participant last name,12
321,195,Participant first name,12
322,202,Fill as appropriate,12
323,203,=O (alpha),12
324,227,FIPS code of state that issued order,12
325,228,FIPS code of county that issued order,12
326,230,The order ID,12
327,231,Date order was filed in your state,12
328,232,Fill as appropriate,12
329,233,Fill as appropriate,12
330,234,Fill as appropriate,12
331,235,Dollar amount per frequency,12
332,236,Date obligation starts to accrue,12
333,254,Y or N,12
334,8,003,13
335,9,Fill as appropriate,13
336,12,P,13
337,13,ENF,13
338,15,Your case ID,13
339,16,Other case ID,13
340,17,ESTXR,13
341,19,=N,13
342,20,=1,13
343,21,=1,13
344,23,=1,13
345,24,=0 (numeric),13
346,25,=0 (numeric),13
347,26,Fill as appropriate,13
348,33,Fill as appropriate,13
349,34,=O (alpha),13
350,41,Your state contact last name,13
351,42,Your state contact first name,13
352,45,Contact address,13
353,47,Contact city,13
354,48,Contact state,13
355,49,Contact ZIP Code,13
356,51,Contact phone number,13
357,194,NCP last name,13
358,195,NCP first name,13
359,199,NCP Social Security number,13
360,198,NCP date of birth,13
361,194,Participant last name,13
362,195,Participant first name,13
363,202,Fill as appropriate,13
364,203,=O (alpha),13
365,267,=O (alpha),13
366,269,Fill as appropriate,13
367,8,003,14
368,9,Fill as appropriate,14
369,12,P,14
370,13,ENF,14
371,15,Your case ID,14
372,16,Other case ID,14
373,17,EUTXR,14
374,19,=N,14
375,20,=1,14
376,21,=1,14
377,23,=1,14
378,24,=0 (numeric),14
379,25,=0 (numeric),14
380,26,Fill as appropriate,14
381,33,Fill as appropriate,14
382,34,=O (alpha),14
383,41,Your state contact last name,14
384,42,Your state contact first name,14
385,45,Contact address,14
386,47,Contact city,14
387,48,Contact state,14
388,49,Contact ZIP Code,14
389,51,Contact phone number,14
390,194,NCP last name,14
391,195,NCP first name,14
392,199,NCP Social Security number,14
393,198,NCP date of birth,14
394,194,Participant last name,14
395,195,Participant first name,14
396,202,Fill as appropriate,14
397,203,=O (alpha),14
398,267,=O (alpha),14
399,269,Fill as appropriate,14
400,8,003,15
401,9,Fill as appropriate,15
402,12,P,15
403,13,ENF,15
404,15,Your case ID,15
405,16,Other case ID,15
406,17,GSCOE,15
407,19,=N,15
408,20,=1,15
409,21,=1,15
410,23,=1,15
411,24,=1,15
412,25,=0 (numeric),15
413,26,=0 (numeric),15
414,33,Fill as appropriate,15
415,34,=O (alpha),15
416,41,Your state contact last name,15
417,42,Your state contact first name,15
418,45,Contact address,15
419,47,Contact city,15
420,48,Contact state,15
421,49,Contact ZIP Code,15
422,51,Contact phone number,15
423,194,NCP last name,15
424,195,NCP first name,15
425,199,NCP Social Security number,15
426,198,NCP date of birth,15
427,194,Participant last name,15
428,195,Participant first name,15
429,202,Fill as appropriate,15
430,203,=O (alpha),15
431,227,FIPS code of state that issued order,15
432,228,FIPS code of county that issued order,15
433,230,The order ID,15
434,231,Date order was filed in your state,15
435,232,Fill as appropriate,15
436,233,Fill as appropriate,15
437,234,Fill as appropriate,15
438,235,Dollar amount per frequency,15
439,236,Date obligation starts to accrue,15
440,254,Y or N,15
441,8,003,16
442,9,Fill as appropriate,16
443,12,P,16
444,13,ENF,16
445,15,Your case ID,16
446,16,Other case ID,16
447,17,SICPS,16
448,18,Date event occurred,16
449,19,=N,16
450,20,=1,16
451,21,=1,16
452,23,=1,16
453,24,=0 (numeric),16
454,25,=0 (numeric),16
455,26,=0 (numeric),16
456,33,Fill as appropriate,16
457,34,=O (alpha),16
458,41,Your state contact last name,16
459,42,Your state contact first name,16
460,45,Contact address,16
461,47,Contact city,16
462,48,Contact state,16
463,49,Contact ZIP Code,16
464,51,Contact phone number,16
465,194,NCP last name,16
466,195,NCP first name,16
467,199,NCP Social Security number,16
468,198,NCP date of birth,16
469,194,Participant last name,16
470,195,Participant first name,16
471,202,Fill as appropriate,16
472,203,=O (alpha),16
473,8,003,17
474,9,Fill as appropriate,17
475,12,R,17
476,13,ENF,17
477,15,Your case ID,17
478,17,ERARR,17
479,19,=N,17
480,20,=1,17
481,21,=1,17
482,23,Fill as appropriate,17
483,24,=1,17
484,25,=0 (numeric),17
485,26,=0 (numeric),17
486,33,Fill as appropriate,17
487,34,=O (alpha),17
488,37,Payment city,17
489,38,Payment state,17
490,39,Payment ZIP Code,17
491,41,Your state contact last name,17
492,42,Your state contact first name,17
493,45,Contact address,17
494,47,Contact city,17
495,48,Contact state,17
496,49,Contact ZIP Code,17
497,51,Contact phone number,17
498,194,NCP last name,17
499,195,NCP first name,17
500,199,NCP Social Security number,17
501,198,NCP date of birth,17
502,84,NCP street address,17
503,86,NCP city,17
504,87,NCP state,17
505,88,NCP ZIP Code,17
506,96,Required if residential address entered,17
507,98,Fill as appropriate,17
508,194,Participant last name,17
509,195,Participant first name,17
510,198,Fill as appropriate,17
511,202,Fill as appropriate,17
512,203,=O (alpha),17
513,204,Fill as appropriate,17
514,227,FIPS code of state that issued order,17
515,228,FIPS code of county that issued order,17
516,230,The order ID,17
517,231,Date order was filed in your state,17
518,232,Fill as appropriate,17
519,233,Fill as appropriate,17
520,234,Fill as appropriate,17
521,235,Dollar amount per frequency,17
522,236,Date obligation starts to accrue,17
523,254,Y or N,17
524,8,003,18
525,9,Fill as appropriate,18
526,12,R,18
527,13,ENF,18
528,15,Your case ID,18
529,17,ERMEO,18
530,19,=N,18
531,20,=1,18
532,21,=1,18
533,23,Fill as appropriate,18
534,24,=1,18
535,25,=0 (numeric),18
536,26,=0 (numeric),18
537,33,Fill as appropriate,18
538,34,=O (alpha),18
539,37,Payment city,18
540,38,Payment state,18
541,39,Payment ZIP Code,18
542,41,Your state contact last name,18
543,42,Your state contact first name,18
544,45,Contact address,18
545,47,Contact city,18
546,48,Contact state,18
547,49,Contact ZIP Code,18
548,51,Contact phone number,18
549,194,NCP last name,18
550,195,NCP first name,18
551,199,NCP Social Security number,18
552,198,NCP date of birth,18
553,84,NCP street address,18
554,86,NCP city,18
555,87,NCP state,18
556,88,NCP ZIP Code,18
557,96,Required if residential address entered,18
558,98,Fill as appropriate,18
559,194,Participant last name,18
560,195,Participant first name,18
561,198,Fill as appropriate,18
562,202,Fill as appropriate,18
563,203,=O (alpha),18
564,204,Fill as appropriate,18
565,227,FIPS code of state that issued order,18
566,228,FIPS code of county that issued order,18
567,230,The order ID,18
568,231,Date order was filed in your state,18
569,232,Fill as appropriate,18
570,233,Fill as appropriate,18
571,234,Fill as appropriate,18
572,235,Dollar amount per frequency,18
573,236,Date obligation starts to accrue,18
574,254,Y or N,18
575,8,003,19
576,9,Fill as appropriate,19
577,12,R,19
578,13,ENF,19
579,15,Your Case ID,19
580,17,ERREG,19
581,19,=N,19
582,20,=1,19
583,21,=1,19
584,23,Fill as appropriate,19
585,24,=1,19
586,25,=0 (Numeric),19
587,26,Fill as appropriate,19
588,33,Fill as appropriate,19
589,34,=O (alpha),19
590,37,Payment city,19
591,38,Payment state,19
592,39,Payment ZIP Code,19
593,41,Your state contact last name,19
594,42,Your state contact first name,19
595,45,Contact address,19
596,47,Contact city,19
597,48,Contact state,19
598,49,Contact ZIP Code,19
599,51,Contact phone number,19
600,194,NCP last name,19
601,195,NCP first name,19
602,199,NCP Social Security number,19
603,198,NCP date of birth,19
604,84,NCP street address,19
605,86,NCP city,19
606,87,NCP state,19
607,88,NCP ZIP Code,19
608,96,Required if residential address entered,19
609,98,Fill as appropriate,19
610,194,Participant last name,19
611,195,Participant first name,19
612,198,Fill as appropriate,19
613,202,Fill as appropriate,19
614,203,=O (alpha),19
615,204,Fill as appropriate,19
616,227,FIPS code of state that issued order,19
617,228,FIPS code of county that issued order,19
618,230,The order ID,19
619,231,Date order was filed in your state,19
620,232,Fill as appropriate,19
621,233,Fill as appropriate,19
622,234,Fill as appropriate,19
623,235,Dollar amount per frequency,19
624,236,Date obligation starts to accrue,19
625,254,Y or N,19
626,267,=O (alpha),19
627,269,Fill as appropriate,19
628,8,003,20
629,9,Fill as appropriate,20
630,12,R,20
631,13,ENF,20
632,15,Your case ID,20
633,17,ERREO,20
634,19,=N,20
635,20,=1,20
636,21,=1,20
637,23,Fill as appropriate,20
638,24,=1,20
639,25,=0 (numeric),20
640,26,=0 (numeric),20
641,33,Fill as appropriate,20
642,34,=O (alpha),20
643,37,Payment city,20
644,38,Payment state,20
645,39,Payment ZIP Code,20
646,41,Your state contact last name,20
647,42,Your state contact first name,20
648,45,Contact address,20
649,47,Contact city,20
650,48,Contact state,20
651,49,Contact ZIP Code,20
652,51,Contact phone number,20
653,194,NCP last name,20
654,195,NCP first name,20
655,199,NCP Social Security number,20
656,198,NCP date of birth,20
657,84,NCP street address,20
658,86,NCP city,20
659,87,NCP state,20
660,88,NCP ZIP Code,20
661,96,Required if residential address entered,20
662,98,Fill as appropriate,20
663,194,Participant last name,20
664,195,Participant first name,20
665,198,Fill as appropriate,20
666,202,Fill as appropriate,20
667,203,=O (alpha),20
668,204,Fill as appropriate,20
669,227,FIPS code of state that issued order,20
670,228,FIPS code of county that issued order,20
671,230,The order ID,20
672,231,Date order was filed in your state,20
673,232,Fill as appropriate,20
674,233,Fill as appropriate,20
675,234,Fill as appropriate,20
676,235,Dollar amount per frequency,20
677,236,Date obligation starts to accrue,20
678,254,Y or N,20
679,8,003,21
680,9,Fill as appropriate,21
681,12,R,21
682,15,Your case ID,21
683,17,ERRES,21
684,19,=N,21
685,20,=1,21
686,21,=1,21
687,23,Fill as appropriate,21
688,24,=1,21
689,25,=0 (numeric),21
690,26,=0 (numeric),21
691,33,Fill as appropriate,21
692,34,=O (alpha),21
693,37,Payment city,21
694,38,Payment state,21
695,39,Payment ZIP Code,21
696,41,Your state contact last name,21
697,42,Your state contact first name,21
698,45,Contact address,21
699,47,Contact city,21
700,48,Contact state,21
701,49,Contact ZIP Code,21
702,51,Contact phone number,21
703,194,NCP last name,21
704,195,NCP first name,21
705,199,NCP Social Security number,21
706,198,NCP date of birth,21
707,84,NCP street address,21
708,86,NCP city,21
709,87,NCP state,21
710,88,NCP ZIP Code,21
711,96,Required if residential address entered,21
712,98,Fill as appropriate,21
713,194,Participant last name,21
714,195,Participant first name,21
715,198,Fill as appropriate,21
716,202,Fill as appropriate,21
717,203,=O (alpha),21
718,204,Fill as appropriate,21
719,227,FIPS code of state that issued order,21
720,228,FIPS code of county that issued order,21
721,230,The order ID,21
722,231,Date order was filed in your state,21
723,232,Fill as appropriate,21
724,233,Fill as appropriate,21
725,234,Fill as appropriate,21
726,235,Dollar amount per frequency,21
727,236,Date obligation starts to accrue,21
728,254,Y or N,21
729,8,003,22
730,9,Fill as appropriate,22
731,12,R,22
732,13,ENF,22
733,15,Your case ID,22
734,17,ERTXR,22
735,19,=N,22
736,20,=1,22
737,21,=1,22
738,23,Fill as appropriate,22
739,24,=1,22
740,25,=0 (numeric),22
741,26,Fill as appropriate,22
742,33,Fill as appropriate,22
743,34,=O (alpha),22
744,37,Payment city,22
745,38,Payment state,22
746,39,Payment ZIP Code,22
747,41,Your state contact last name,22
748,42,Your state contact first name,22
749,45,Contact address,22
750,47,Contact city,22
751,48,Contact state,22
752,49,Contact ZIP Code,22
753,51,Contact phone number,22
754,194,NCP last name,22
755,195,NCP first name,22
756,199,NCP Social Security number,22
757,198,NCP date of birth,22
758,84,NCP street address,22
759,86,NCP city,22
760,87,NCP state,22
761,88,NCP ZIP Code,22
762,96,Required if residential address entered,22
763,98,Fill as appropriate,22
764,194,Participant last name,22
765,195,Participant first name,22
766,198,Fill as appropriate,22
767,202,Fill as appropriate,22
768,203,=O (alpha),22
769,204,Fill as appropriate,22
770,227,FIPS code of state that issued order,22
771,228,FIPS code of county that issued order,22
772,230,The order ID,22
773,231,Date order was filed in your state,22
774,232,Fill as appropriate,22
775,233,Fill as appropriate,22
776,234,Fill as appropriate,22
777,235,Dollar amount per frequency,22
778,236,Date obligation starts to accrue,22
779,254,Y or N,22
780,267,=O (alpha),22
781,269,Fill as appropriate,22
782,8,003,23
783,9,Fill as appropriate,23
784,12,R,23
785,13,ENF,23
786,15,Your case ID,23
787,17,ERALL,23
788,19,=N,23
789,20,=1,23
790,21,=1,23
791,23,Fill as appropriate,23
792,24,=1,23
793,25,=0 (numeric),23
794,26,=0 (numeric),23
795,33,Fill as appropriate,23
796,34,=O (alpha),23
797,37,Payment city,23
798,38,Payment state,23
799,39,Payment ZIP Code,23
800,41,Your state contact last name,23
801,42,Your state contact first name,23
802,45,Contact address,23
803,47,Contact city,23
804,48,Contact state,23
805,49,Contact ZIP Code,23
806,51,Contact phone number,23
807,194,NCP last name,23
808,195,NCP first name,23
809,199,NCP Social Security number,23
810,198,NCP date of birth,23
811,84,NCP street address,23
812,86,NCP city,23
813,87,NCP state,23
814,88,NCP ZIP Code,23
815,96,Required if residential address entered,23
816,98,Fill as appropriate,23
817,194,Participant last name,23
818,195,Participant first name,23
819,198,Fill as appropriate,23
820,202,Fill as appropriate,23
821,203,=O (alpha),23
822,204,Fill as appropriate,23
823,227,FIPS code of state that issued order,23
824,228,FIPS code of county that issued order,23
825,230,The order ID,23
826,231,Date order was filed in your state,23
827,232,Fill as appropriate,23
828,233,Fill as appropriate,23
829,234,Fill as appropriate,23
830,235,Dollar amount per frequency,23
831,236,Date obligation starts to accrue,23
832,254,Y or N,23
833,267,=O (alpha),23
834,269,Fill as appropriate,23
835,8,003,24
836,9,Fill as appropriate,24
837,12,R,24
838,13,ENF,24
839,15,Your case ID,24
840,17,ERMEE,24
841,19,=N,24
842,20,=1,24
843,21,=1,24
844,23,Fill as appropriate,24
845,24,=1,24
846,25,=0 (numeric),24
847,26,=0 (numeric),24
848,33,Fill as appropriate,24
849,34,=O (alpha),24
850,37,Payment city,24
851,38,Payment state,24
852,39,Payment ZIP Code,24
853,41,Your state contact last name,24
854,42,Your state contact first name,24
855,45,Contact address,24
856,47,Contact city,24
857,48,Contact state,24
858,49,Contact ZIP Code,24
859,51,Contact phone number,24
860,194,NCP last name,24
861,195,NCP first name,24
862,199,NCP Social Security number,24
863,198,NCP date of birth,24
864,84,NCP street address,24
865,86,NCP city,24
866,87,NCP state,24
867,88,NCP ZIP Code,24
868,96,Required if residential address entered,24
869,98,Fill as appropriate,24
870,194,Participant last name,24
871,195,Participant first name,24
872,198,Fill as appropriate,24
873,202,Fill as appropriate,24
874,203,=O (alpha),24
875,204,Fill as appropriate,24
876,227,FIPS code of state that issued order,24
877,228,FIPS code of county that issued order,24
878,230,The order ID,24
879,231,Date order was filed in your state,24
880,232,Fill as appropriate,24
881,233,Fill as appropriate,24
882,234,Fill as appropriate,24
883,235,Dollar amount per frequency,24
884,236,Date obligation starts to accrue,24
885,254,Y or N,24
886,8,003,25
887,9,Fill as appropriate,25
888,12,R,25
889,13,ENF,25
890,15,Your case ID,25
891,17,ERMEM,25
892,19,=N,25
893,20,=1,25
894,21,=1,25
895,23,Fill as appropriate,25
896,24,=1,25
897,25,=0 (numeric),25
898,26,=0 (numeric),25
899,33,Fill as appropriate,25
900,34,=O (alpha),25
901,37,Payment city,25
902,38,Payment state,25
903,39,Payment ZIP Code,25
904,41,Your state contact last name,25
905,42,Your state contact first name,25
906,45,Contact address,25
907,47,Contact city,25
908,48,Contact state,25
909,49,Contact ZIP Code,25
910,51,Contact phone number,25
911,194,NCP last name,25
912,195,NCP first name,25
913,199,NCP Social Security number,25
914,198,NCP date of birth,25
915,84,NCP street address,25
916,86,NCP city,25
917,87,NCP state,25
918,88,NCP ZIP Code,25
919,96,Required if residential address entered,25
920,98,Fill as appropriate,25
921,194,Participant last name,25
922,195,Participant first name,25
923,198,Fill as appropriate,25
924,202,Fill as appropriate,25
925,203,=O (alpha),25
926,204,Fill as appropriate,25
927,227,FIPS code of state that issued order,25
928,228,FIPS code of county that issued order,25
929,230,The order ID,25
930,231,Date order was filed in your state,25
931,232,Fill as appropriate,25
932,233,Fill as appropriate,25
933,234,Fill as appropriate,25
934,235,Dollar amount per frequency,25
935,236,Date obligation starts to accrue,25
936,254,Y or N,25
937,8,003,57
938,9,Fill as appropriate,57
939,12,A,57
940,13,EST,57
941,15,Your case ID,57
942,16,Other case ID,57
943,17,AADIN,57
944,19,=N,57
945,20,=1,57
946,21,=1,57
947,23,=1,57
948,24,=0 (numeric),57
949,25,=0 (numeric),57
950,26,=1,57
951,33,Fill as appropriate,57
952,34,=O (alpha),57
953,41,Your state contact,57
954,42,Your state contact,57
955,45,Contact address,57
956,47,Contact city,57
957,48,Contact state,57
958,49,Contact ZIP Code,57
959,51,Contact phone number,57
960,194,NCP last name,57
961,195,NCP first name,57
962,199,NCP Social Security number,57
963,198,NCP date of birth,57
964,194,Participant last name,57
965,195,Participant first name,57
966,202,Fill as appropriate,57
967,203,=O (alpha),57
968,267,=O (alpha),57
969,269,Fill as appropriate,57
970,8,003,58
971,9,Fill as appropriate,58
972,12,A,58
973,13,EST,58
974,15,Your case ID,58
975,16,Other case ID,58
976,17,ANOAD,58
977,19,=N,58
978,20,=1,58
979,21,=1,58
980,23,=1,58
981,24,=0 (numeric),58
982,25,=0 (numeric),58
983,26,=0 (numeric),58
984,33,Fill as appropriate,58
985,34,=O (alpha),58
986,41,Your state contact,58
987,42,Your state contact,58
988,45,Contact address,58
989,47,Contact city,58
990,48,Contact state,58
991,49,Contact ZIP Code,58
992,194,NCP last name,58
993,195,NCP first name,58
994,199,NCP Social Security number,58
995,198,NCP date of birth,58
996,194,Participant last name,58
997,195,Participant first name,58
998,202,Fill as appropriate,58
999,203,=O (alpha),58
1000,8,003,59
1001,9,Fill as appropriate,59
1002,12,P,59
1003,13,EST,59
1004,15,Your case ID,59
1005,16,Other case ID,59
1006,17,GSCOE,59
1007,19,=N,59
1008,20,=1,59
1009,21,=1,59
1010,23,Fill as appropriate,59
1011,24,=1,59
1012,25,=0 (numeric),59
1013,26,=0 (numeric),59
1014,33,Fill as appropriate,59
1015,34,=O (alpha),59
1016,41,Your state contact last name,59
1017,42,Your state contact first name,59
1018,45,Contact address,59
1019,47,Contact city,59
1020,48,Contact state,59
1021,49,Contact ZIP Code,59
1022,51,Contact phone number,59
1023,194,NCP last name,59
1024,195,NCP first name,59
1025,199,NCP Social Security number,59
1026,198,NCP date of birth,59
1027,194,Participant last name,59
1028,195,Participant first name,59
1029,202,Fill as appropriate,59
1030,203,=O (alpha),59
1031,227,FIPS code of state that issued order,59
1032,228,FIPS code of county that issued order,59
1033,230,The order ID,59
1034,231,Date order was filed in your state,59
1035,232,Fill as appropriate,59
1036,233,Fill as appropriate,59
1037,234,Fill as appropriate,59
1038,235,Dollar amount per frequency,59
1039,236,Date obligation starts to accrue,59
1040,254,Y or N,59
1041,8,003,60
1042,9,Fill as appropriate,60
1043,12,P,60
1044,13,EST,60
1045,15,Your case ID,60
1046,16,Other case ID,60
1047,17,SICHS,60
1048,18,The date the event will occur,60
1049,19,=N,60
1050,20,=1,60
1051,21,=1,60
1052,23,Fill as appropriate,60
1053,24,=0 (numeric),60
1054,25,=0 (numeric),60
1055,26,Fill as appropriate,60
1056,33,Fill as appropriate,60
1057,34,=O (alpha),60
1058,41,Your state contact last name,60
1059,42,Your state contact first name,60
1060,45,Contact address,60
1061,47,Contact city,60
1062,48,Contact state,60
1063,49,Contact ZIP Code,60
1064,51,Contact phone number,60
1065,194,NCP last name,60
1066,195,NCP first name,60
1067,199,NCP Social Security number,60
1068,198,NCP date of birth,60
1069,194,Participant last name,60
1070,195,Participant first name,60
1071,202,Fill as appropriate,60
1072,203,=O (alpha),60
1073,267,=O (alpha),60
1074,269,Fill as appropriate,60
1075,8,003,61
1076,9,Fill as appropriate,61
1077,12,P,61
1078,13,EST,61
1079,15,Your case ID,61
1080,16,Other case ID,61
1081,17,SSADJ,61
1082,19,=N,61
1083,20,=1,61
1084,21,=1,61
