FAR_CODE_CD,ACTION_CD,FUNCTION_CD,ACTION_REASON_CD,FAR_CODE_ID,FAR_CODE_DESCRIPTION_TXT
MSCPGSC4B,P,MSC,GSC4B,15,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(3)(II)"
MSCPGSC4C,P,MSC,GSC4C,16,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(3)(III)"
MSCPGSC13,P,MSC,GSC13,17,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(12)"
MSCPGSC14,P,MSC,GSC14,18,"MANAGING STATE CASES, PROVISION/RESPONSE, NOTICE OF INTENT TO CLOSE CASE 45CFR 303.11(C)"
MSCPGSC15,P,MSC,GSC15,19,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.11(B)(14)]"
MSCPGSC16,P,MSC,GSC16,20,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.7(D)(10)]"
MSCPGSC17,P,MSC,GSC17,21,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.7(C)(12)]"
MSCPGSC18,P,MSC,GSC18,22,"MANAGING STATE CASES, PROVISION/RESPONSE, CASE CLOSURE REASON 45CFR 303.7(D)(9)]"
MSCPGSCAS,P,MSC,GSCAS,23,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE LOCAL CASE ID"
MSCPGSDEL,P,MSC,GSDEL,24,"MANAGING STATE CASES, PROVISION/RESPONSE, DELETE DEPENDENT PARTICIPANT"
MSCPGSFIP,P,MSC,GSFIP,25,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE LOCAL FIPS CODE"
MSCPGSFWD,P,MSC,GSFWD,26,"MANAGING STATE CASES, PROVISION/RESPONSE, NOTICE OF CASE FORWARDING"
MSCPGSMAD,P,MSC,GSMAD,27,"MANAGING STATE CASES, PROVISION/RESPONSE, MEDICAL INSURANCE ADDITION"
MSCPGSMDE,P,MSC,GSMDE,28,"MANAGING STATE CASES, PROVISION/ RESPONSE, MEDICAL INSURANCE DELETION"
MSCPGSPAD,P,MSC,GSPAD,29,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF PAYMENT MAILING ADDRESS/REDIRECT PAYMENT"
MSCPGSPAY,P,MSC,GSPAY,30,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF PAYEE"
MSCPGSPUD,P,MSC,GSPUD,31,"MANAGING STATE CASES, PROVISION/RESPONSE, PROVIDING STATUS UPDATE"
MSCPGSTAI,P,MSC,GSTAI,32,"MANAGING STATE CASES, RESPONSE/PROVISION, PROVIDE INTEREST INFORMATION]"
MSCPGSTYP,P,MSC,GSTYP,33,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF CASE TYPE"
MSCPGSWKR,P,MSC,GSWKR,34,"MANAGING STATE CASES, PROVISION/RESPONSE, CHANGE OF CASEWORKER OR OFFICE"
MSCPLICAD,P,MSC,LICAD,35,"MANAGING STATE CASES, PROVISION/RESPONSE, ADDRESS FOUND BUT NOT CONFIRMED"
MSCPLSADR,P,MSC,LSADR,36,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP ADDRESS LOCATED AND CONFIRMED"
MSCPLSEMP,P,MSC,LSEMP,37,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP EMPLOYER FOUND AND CONFIRMED"
MSCPLSOUT,P,MSC,LSOUT,38,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP OUT OF STATE ADDRESS LOCATED AND CONFIRMED"
MSCPLUAPD,P,MSC,LUAPD,39,"MANAGING STATE CASES, PROVISION/RESPONSE, NCP FOUND DECEASED"
MSCPREJCT,P,MSC,REJCT,40,"– MANAGING STATE CASES, PROVISION/PRESPONSE, CASE ID INVALID"
MSCRGRINT,R,MSC,GRINT,41,"MANAGING STATE CASES, REQUEST, REQUEST FOR INTEREST INFORMATION]"
MSCRGRPAY,R,MSC,GRPAY,42,"MANAGING STATE CASES, REQUEST, REQUEST TO CHANGE PAYEE]"
MSCRGRPOC,R,MSC,GRPOC,43,"MANAGING STATE CASES, REQUEST, COPIES OF DOCUMENTATION"
MSCRGRUPD,R,MSC,GRUPD,44,"MANAGING STATE CASES, REQUEST, REQUEST FOR STATUS UPDATE"
MSCPBlank,P,MSC,Blank,45,Reason Explained in\nInformation Data Block
MSCPGSC4D,P,MSC,GSC4D,46,"Case Closure Reason 45CFR\n303.11(b)(3)(iv); paternity\ncannot be established because:\nThe identity of the biological\nfather is unknown and cannot\nbe identified after diligent\nefforts, including at least one\ninterview by the IV-D agency\nwith the recipient of services."
MSCPGSSTA,P,MSC,GSSTA,47,Change of Case Status
MSCPGSUPD,P,MSC,GSUPD,48,Unsolicited Information
MSCPLICEM,P,MSC,LICEM,49,NCP Employer Found But Not\nConfirmed
MSCPLSOTH,P,MSC,LSOTH,50,Other Information Found
MSCRGRBTR,R,MSC,GRBTR,51,Request to Schedule Genetic\nTesting
MSCRGRAFI,R,MSC,GRAFI,52,Request Completion of\nInterrogatories
MSCUGRAFI,U,MSC,GRAFI,53,Request Completion of\nInterrogatories
MSCRGRAGT,R,MSC,GRAGT,54,Request Assistance with\nGenetic Testing
MSCUGRAGT,U,MSC,GRAGT,55,Request Assistance with\nGenetic Testing
MSCRGRFIN,R,MSC,GRFIN,56,Request Financial Data/Proof of\nRespondent’s Income
MSCUGRFIN,U,MSC,GRFIN,57,Request Financial Data/Proof of\nRespondent’s Income
MSCRGRGAP,R,MSC,GRGAP,58,Request Assistance with\nService of Process
MSCUGRGAP,U,MSC,GRGAP,59,Request Assistance with\nService of Process
MSCRGRTHD,R,MSC,GRTHD,60,Request Assistance with\nTeleconference for Hearing or\nDeposition
MSCUGRTHD,U,MSC,GRTHD,61,Request Assistance with\nTeleconference for Hearing or\nDeposition
MSCUGRPOC,U,MSC,GRPOC,62,Request Copies of\nDocumentation
